antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'mineral water'}),frozenset({'spaghetti'}),0.23826666666666665,0.17413333333333333,0.05973333333333333,0.2506994963626189,1.4396984860027884,1.0,0.018243164444444446,1.1021835200398307,0.40094099297341906,0.16937618147448014,0.09271007793342619,0.296865827813775
frozenset({'chocolate'}),frozenset({'ground beef'}),0.16386666666666666,0.09826666666666667,0.023066666666666666,0.14076484947111473,1.432478115377694,1.0,0.006964035555555553,1.0494604797979796,0.3610776461609223,0.09648633575013943,0.04712943531470656,0.18775013165550308
frozenset({'ground beef'}),frozenset({'chocolate'}),0.09826666666666667,0.16386666666666666,0.023066666666666666,0.23473541383989144,1.432478115377694,1.0,0.006964035555555553,1.0926068557919622,0.334809687871528,0.09648633575013943,0.084757710699918,0.18775013165550308
frozenset({'mineral water'}),frozenset({'cake'}),0.23826666666666665,0.08106666666666666,0.027466666666666667,0.1152770005595971,1.422002474008188,1.0,0.008151182222222223,1.0386678473539954,0.3895934837765682,0.09410689812699866,0.03722830879236481,0.22704639501664067
frozenset({'cake'}),frozenset({'mineral water'}),0.08106666666666666,0.23826666666666665,0.027466666666666667,0.33881578947368424,1.422002474008188,1.0,0.008151182222222223,1.1520742951907132,0.32294654277648494,0.09410689812699866,0.13200042377956098,0.22704639501664067
frozenset({'spaghetti'}),frozenset({'burgers'}),0.17413333333333333,0.0872,0.021466666666666665,0.1232771822358346,1.413729154080672,1.0,0.006282239999999998,1.0411500436681222,0.3543561491084339,0.08949416342412451,0.03952364399193098,0.1847272761332078
frozenset({'burgers'}),frozenset({'spaghetti'}),0.0872,0.17413333333333333,0.021466666666666665,0.24617737003058102,1.413729154080672,1.0,0.006282239999999998,1.0955716024340771,0.32060794443144014,0.08949416342412451,0.08723446484167867,0.1847272761332078
frozenset({'shrimp'}),frozenset({'mineral water'}),0.07133333333333333,0.23826666666666665,0.023466666666666667,0.32897196261682243,1.3806881475244368,1.0,0.006470311111111113,1.1351736304549676,0.2969025321412257,0.08201304753028892,0.11907749337058783,0.2137305252367828
frozenset({'mineral water'}),frozenset({'shrimp'}),0.23826666666666665,0.07133333333333333,0.023466666666666667,0.09848908785674315,1.3806881475244368,1.0,0.006470311111111113,1.03012249120629,0.36196851677991193,0.08201304753028892,0.029241659572946683,0.2137305252367828
frozenset({'chocolate'}),frozenset({'spaghetti'}),0.16386666666666666,0.17413333333333333,0.0392,0.23921887713588283,1.3737684368446563,1.0,0.01066535111111111,1.085550944741533,0.32539700619523837,0.1311914323962517,0.07880877922491464,0.23216686582674692
